epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
56,9265.12,1.42997,0.85707,1.54368,0.68365,0.63421,0.68205,0.3681,1.55089,0.78315,1.56959,0.0236676,0.0078892,0.0236676,0.0078892,0.0236676,0.0078892,0.0236676,0.0078892
57,9426.85,1.43735,0.8584,1.54073,0.68694,0.6334,0.68335,0.36915,1.5486,0.78214,1.56721,0.023454,0.007818,0.023454,0.007818,0.023454,0.007818,0.023454,0.007818
58,9588.44,1.42528,0.85562,1.53537,0.68273,0.63529,0.68427,0.36844,1.54998,0.78155,1.56893,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596
59,9749.7,1.42874,0.84528,1.53271,0.68763,0.63226,0.68312,0.36879,1.5528,0.78162,1.56805,0.0230193,0.0076731,0.0230193,0.0076731,0.0230193,0.0076731,0.0230193,0.0076731
60,9911.03,1.4156,0.8407,1.53129,0.68598,0.63937,0.68466,0.3691,1.55852,0.77965,1.57094,0.0227983,0.00759944,0.0227983,0.00759944,0.0227983,0.00759944,0.0227983,0.00759944
61,10072.3,1.41005,0.83426,1.52198,0.69455,0.63496,0.68565,0.36916,1.55881,0.77956,1.57312,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
62,10234,1.40547,0.82726,1.52174,0.69227,0.64261,0.68769,0.37056,1.56195,0.7796,1.5762,0.0223494,0.00744981,0.0223494,0.00744981,0.0223494,0.00744981,0.0223494,0.00744981
63,10395.2,1.40151,0.83248,1.51926,0.69925,0.63851,0.69094,0.37191,1.56091,0.77748,1.57625,0.0221217,0.00737388,0.0221217,0.00737388,0.0221217,0.00737388,0.0221217,0.00737388
64,10557.7,1.39391,0.81535,1.51306,0.70361,0.63615,0.69076,0.37198,1.55845,0.77646,1.57586,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
65,10719,1.38983,0.81047,1.49798,0.70641,0.63551,0.69085,0.37139,1.55806,0.7754,1.57507,0.0216598,0.00721994,0.0216598,0.00721994,0.0216598,0.00721994,0.0216598,0.00721994
66,10880.5,1.38764,0.80258,1.49908,0.69621,0.64473,0.69248,0.37113,1.55969,0.77596,1.57464,0.0214259,0.00714196,0.0214259,0.00714196,0.0214259,0.00714196,0.0214259,0.00714196
67,11044,1.38516,0.79755,1.49946,0.6991,0.64373,0.69312,0.37188,1.55866,0.77487,1.57399,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
68,11206.8,1.37625,0.78642,1.48684,0.69984,0.64192,0.69397,0.37211,1.55849,0.77374,1.57302,0.0209524,0.00698412,0.0209524,0.00698412,0.0209524,0.00698412,0.0209524,0.00698412
69,11370.2,1.3705,0.7878,1.48343,0.70537,0.63872,0.69462,0.37341,1.55963,0.77194,1.57337,0.0207129,0.0069043,0.0207129,0.0069043,0.0207129,0.0069043,0.0207129,0.0069043
70,11532.7,1.36268,0.78224,1.478,0.70203,0.64499,0.69625,0.37467,1.55891,0.76998,1.57401,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392
71,11694.5,1.36594,0.77797,1.47815,0.7049,0.64879,0.69842,0.37603,1.55957,0.76828,1.57491,0.020229,0.006743,0.020229,0.006743,0.020229,0.006743,0.020229,0.006743
72,11856.9,1.3555,0.77136,1.47107,0.71054,0.64336,0.69844,0.37694,1.56053,0.76712,1.57542,0.0199847,0.00666156,0.0199847,0.00666156,0.0199847,0.00666156,0.0199847,0.00666156
73,12020.1,1.35161,0.7729,1.46894,0.70966,0.6442,0.69787,0.3773,1.56162,0.7658,1.57577,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
74,12182.3,1.33947,0.75921,1.45877,0.71593,0.63881,0.69811,0.37814,1.56309,0.76562,1.57635,0.0194917,0.00649724,0.0194917,0.00649724,0.0194917,0.00649724,0.0194917,0.00649724
75,12344.8,1.34028,0.75773,1.45725,0.71818,0.6366,0.69776,0.37833,1.56289,0.76503,1.57598,0.0192432,0.0064144,0.0192432,0.0064144,0.0192432,0.0064144,0.0192432,0.0064144
76,12508.9,1.33602,0.75387,1.45669,0.71202,0.64165,0.69853,0.37808,1.56393,0.76391,1.57724,0.0189935,0.00633115,0.0189935,0.00633115,0.0189935,0.00633115,0.0189935,0.00633115
77,12671.6,1.32962,0.74425,1.45019,0.71198,0.64252,0.69925,0.37789,1.56411,0.7636,1.57688,0.0187425,0.00624751,0.0187425,0.00624751,0.0187425,0.00624751,0.0187425,0.00624751
78,12834,1.32976,0.74432,1.44483,0.71706,0.63897,0.69927,0.37834,1.56457,0.76267,1.57758,0.0184905,0.00616351,0.0184905,0.00616351,0.0184905,0.00616351,0.0184905,0.00616351
79,12996.1,1.32284,0.73825,1.44159,0.71509,0.63643,0.69992,0.37883,1.56497,0.76181,1.57798,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
